现场维修,现场维修->故障确认,现场维修.depth==0
现场维修,现场维修->资源调配,现场维修.depth==0
现场维修,现场维修->安全评估,现场维修.depth==0
现场维修,现场维修->工具准备,现场维修.depth==0
现场维修,现场维修->维修执行,现场维修.depth==0
现场维修,现场维修->维修验证,现场维修.depth==0
故障确认,故障确认->接收故障报警,故障确认.depth==1
故障确认,故障确认->初步现象记录,故障确认.depth==1
故障确认,故障确认->历史数据分析,故障确认.depth==1
接收故障报警,接收故障报警->报警信号解析,接收故障报警.depth==2
报警信号解析,报警信号解析->信号特征提取,报警信号解析.depth==3
信号特征提取,信号特征提取->时域分析,信号特征提取.depth==4
信号特征提取,信号特征提取->频域分析,信号特征提取.depth==4
时域分析,时域分析->峰值检测,时域分析.depth==5
时域分析,时域分析->波形对比,时域分析.depth==5
频域分析,频域分析->Null,频域分析.depth==5
初步现象记录,初步现象记录->报警类型分类,初步现象记录.depth==2
报警类型分类,报警类型分类->异常模式匹配,报警类型分类.depth==3
异常模式匹配,异常模式匹配->Null,异常模式匹配.depth==4
历史数据分析,历史数据分析->故障优先级判定,历史数据分析.depth==2
故障优先级判定,故障优先级判定->仓库位置匹配,故障优先级判定.depth==3
仓库位置匹配,仓库位置匹配->本地仓优先级,仓库位置匹配.depth==4
仓库位置匹配,仓库位置匹配->跨区域调拨,仓库位置匹配.depth==4
本地仓优先级,本地仓优先级->库存量校验,本地仓优先级.depth==5
库存量校验,库存量校验->Null,库存量校验.depth==6
跨区域调拨,跨区域调拨->物流时效预测,跨区域调拨.depth==5
物流时效预测,物流时效预测->Null,物流时效预测.depth==6
资源调配,资源调配->备件库存查询,资源调配.depth==1
资源调配,资源调配->运输路径规划,资源调配.depth==1
备件库存查询,备件库存查询->备件状态验证,备件库存查询.depth==2
备件状态验证,备件状态验证->环境适应性评估,备件状态验证.depth==3
备件状态验证,备件状态验证->紧急降温方案,备件状态验证.depth==3
环境适应性评估,环境适应性评估->设备耐候性分析,环境适应性评估.depth==4
设备耐候性分析,设备耐候性分析->Null,设备耐候性分析.depth==5
紧急降温方案,紧急降温方案->Null,紧急降温方案.depth==4
运输路径规划,运输路径规划->温湿度监测,运输路径规划.depth==2
运输路径规划,运输路径规划->电磁干扰检测,运输路径规划.depth==2
温湿度监测,温湿度监测->防护措施部署,温湿度监测.depth==3
电磁干扰检测,电磁干扰检测->接口适配测试,电磁干扰检测.depth==3
防护措施部署,防护措施部署->机械公差补偿,防护措施部署.depth==4
接口适配测试,接口适配测试->电气信号匹配,接口适配测试.depth==4
机械公差补偿,机械公差补偿->Null,机械公差补偿.depth==5
电气信号匹配,电气信号匹配->Null,电气信号匹配.depth==5
安全评估,安全评估->现场环境检测,安全评估.depth==1
安全评估,安全评估->操作风险评估,安全评估.depth==1
