timestamp,traceid,service,rpc_id,rpctype,um,uminstanceid,interface,dm,dminstanceid,rt
246095,T_22821977652,S_93113555,0.5.1.11,db,安全评估,MS_65240_POD_222,mJxUT-THwr,数字孪生镜像构建,UNKNOWN,0.0
246095,T_22821977652,S_93113555,0.5.1.11,db,数字孪生镜像构建,MS_65240_POD_222,mJxUT-THwr,多物理场仿真,UNKNOWN,0.0
274353,T_11596263842,S_92523877,0.1,http,多物理场仿真,UNAVAILABLE,Vy4LvaDmfT,故障传播路径预测,MS_3433_POD_6,0.0
356741,T_23846529700,S_130831269,0.1,rpc,多物理场仿真,MS_19017_POD_712,Tfnc-ENibi,增强现实辅助,MS_19017_POD_712,0.0
356741,T_23846529700,S_130831269,0.1,rpc,故障传播路径预测,MS_19017_POD_712,Tfnc-ENibi,脆弱性热力图生成,MS_19017_POD_712,0.0
356741,T_23846529700,S_130831269,0.1,rpc,脆弱性热力图生成,MS_19017_POD_712,Tfnc-ENibi,虚拟应力测试,MS_19017_POD_712,0.0
356741,T_23846529700,S_130831269,0.1,rpc,虚拟应力测试,MS_19017_POD_712,Tfnc-ENibi,多米诺效应阻断,MS_19017_POD_712,0.0
356741,T_23846529700,S_130831269,0.1,rpc,多米诺效应阻断,MS_19017_POD_712,Tfnc-ENibi,现实-虚拟双向校准,MS_19017_POD_712,0.0
356741,T_23846529700,S_130831269,0.1,rpc,现实-虚拟双向校准,MS_19017_POD_712,Tfnc-ENibi,自适应防护策略,MS_19017_POD_712,0.0
356741,T_23846529700,S_130831269,0.1,rpc,增强现实辅助,MS_19017_POD_712,Tfnc-ENibi,操作轨迹建模,MS_19017_POD_712,0.0
356741,T_23846529700,S_130831269,0.1,rpc,操作轨迹建模,MS_19017_POD_712,Tfnc-ENibi,碰撞概率计算,MS_19017_POD_712,0.0
356741,T_23846529700,S_130831269,0.1,rpc,碰撞概率计算,MS_19017_POD_712,Tfnc-ENibi,安全边界动态调整,MS_19017_POD_712,0.0
356741,T_23846529700,S_130831269,0.1,rpc,自适应防护策略,MS_19017_POD_712,Tfnc-ENibi,Null,MS_19017_POD_712,0.0
356741,T_23846529700,S_130831269,0.1,rpc,安全边界动态调整,MS_19017_POD_712,Tfnc-ENibi,Null,MS_19017_POD_712,0.0
